Ticker,Precio Hoy,yhat,Dev%,Señal,Thr Compra,Thr Venta,SL Ref,Dist TP%,Dist SL%,R2
EBAY,109.31999969482422,117.69,-7.11,🟢 COMPRAR,114.16,123.58,100.57,13,-8,0.99
AMZN,233.66000366210938,251.13,-6.96,🟢 COMPRAR,243.6,263.69,214.97,12.9,-8,0.96
ORLY,86.11000061035156,89.8,-4.1,🟢 COMPRAR,87.1,94.29,79.22,9.5,-8,0.98
ADI,380.20001220703125,396.34,-4.07,🟢 COMPRAR,384.45,416.15,349.78,9.5,-8,0.98
MAR,364.4700012207031,379.49,-3.96,🟢 COMPRAR,368.1,398.46,335.31,9.3,-8,0.98
FAST,46.150001525878906,47.68,-3.22,🟢 COMPRAR,46.25,50.07,42.46,8.5,-8,0.98
CSCO,112.76000213623047,116.45,-3.17,🟢 COMPRAR,112.95,122.27,103.74,8.4,-8,0.99
GILD,130.86000061035156,134.3,-2.56,⚪ NEUTRAL,130.27,141.01,120.39,7.8,-8,0.98
AEP,134.9199981689453,138.13,-2.33,⚪ NEUTRAL,133.99,145.04,124.13,7.5,-8,0.99
MNST,93.55999755859375,95.1,-1.62,⚪ NEUTRAL,92.25,99.86,86.08,6.7,-8,0.97
EA,209,212.1,-1.46,⚪ NEUTRAL,205.74,222.71,192.28,6.6,-8,0.97
ROST,232.38999938964844,235.25,-1.22,⚪ NEUTRAL,228.19,247.01,213.8,6.3,-8,0.98
COST,924.5899658203125,935.57,-1.17,⚪ NEUTRAL,907.5,982.35,850.62,6.2,-8,0.99
VRTX,473.0899963378906,477.76,-0.98,⚪ NEUTRAL,463.43,501.65,435.24,6,-8,0.9
AMGN,371.5,374.15,-0.71,⚪ NEUTRAL,362.93,392.86,341.78,5.7,-8,0.93
AAPL,321.6600036621094,318.36,1.04,⚪ NEUTRAL,308.81,334.28,295.93,3.9,-8,0.98
BKNG,172.8300018310547,167.27,3.33,⚪ NEUTRAL,162.25,175.63,159,1.6,-8,0.97
PCAR,130.75,124.62,4.92,⚪ NEUTRAL,120.88,130.85,120.29,0.1,-8,0.97
ASML,1803,1707.37,5.6,🔴 SOBRE COMPRADO,1656.15,1792.74,1658.76,-0.6,-8,0.98
CTAS,203.25,183.98,10.47,🔴 SOBRE COMPRADO,178.47,193.18,186.99,-5,-8,0.98
