Ticker,Fecha,Dias,yhat,yhat_lo,yhat_hi,Thr Compra,Thr Venta,Precio Hoy,Dev%,Señal
EBAY,2026-08-18,23,132.7,127.54,138.14,128.72,139.34,109.32,-17.62,⚠️ MUY BAJO
EBAY,2026-08-19,24,132.69,127.99,138.0,128.71,139.33,109.32,-17.61,⚠️ MUY BAJO
EBAY,2026-08-17,22,132.64,127.88,138.4,128.66,139.28,109.32,-17.58,⚠️ MUY BAJO
EBAY,2026-08-20,25,132.62,127.7,137.84,128.64,139.25,109.32,-17.57,⚠️ MUY BAJO
EBAY,2026-08-16,21,132.52,126.99,138.14,128.54,139.15,109.32,-17.51,⚠️ MUY BAJO
EBAY,2026-08-21,26,132.5,127.39,138.0,128.53,139.13,109.32,-17.49,⚠️ MUY BAJO
EBAY,2026-08-22,27,132.33,126.9,137.5,128.36,138.95,109.32,-17.39,⚠️ MUY BAJO
EBAY,2026-08-15,20,132.32,126.98,137.91,128.35,138.94,109.32,-17.38,⚠️ MUY BAJO
EBAY,2026-08-23,28,132.12,126.68,137.69,128.16,138.73,109.32,-17.26,⚠️ MUY BAJO
EBAY,2026-08-14,19,132.05,126.89,137.24,128.09,138.65,109.32,-17.21,⚠️ MUY BAJO
EBAY,2026-08-24,29,131.88,126.25,137.18,127.92,138.47,109.32,-17.1,⚠️ MUY BAJO
EBAY,2026-08-13,18,131.7,126.8,137.14,127.75,138.29,109.32,-16.99,⚠️ MUY BAJO
EBAY,2026-08-25,30,131.61,126.18,136.97,127.66,138.19,109.32,-16.93,⚠️ MUY BAJO
EBAY,2026-08-26,31,131.32,125.91,136.74,127.38,137.88,109.32,-16.75,⚠️ MUY BAJO
EBAY,2026-08-12,17,131.28,125.9,136.42,127.34,137.84,109.32,-16.73,⚠️ MUY BAJO
EBAY,2026-08-27,32,131.02,125.58,136.26,127.09,137.57,109.32,-16.56,⚠️ MUY BAJO
EBAY,2026-08-11,16,130.78,125.58,135.66,126.86,137.32,109.32,-16.41,⚠️ MUY BAJO
EBAY,2026-08-28,33,130.71,125.26,135.8,126.79,137.24,109.32,-16.36,⚠️ MUY BAJO
EBAY,2026-08-29,34,130.4,125.15,135.6,126.49,136.92,109.32,-16.17,⚠️ MUY BAJO
EBAY,2026-08-10,15,130.21,124.53,135.38,126.3,136.72,109.32,-16.04,⚠️ MUY BAJO
EBAY,2026-08-30,35,130.1,124.42,135.8,126.2,136.61,109.32,-15.97,⚠️ MUY BAJO
EBAY,2026-08-31,36,129.81,124.28,135.01,125.92,136.3,109.32,-15.79,⚠️ MUY BAJO
EBAY,2026-08-09,14,129.57,124.22,134.83,125.69,136.05,109.32,-15.63,⚠️ MUY BAJO
EBAY,2026-09-01,37,129.54,124.37,134.98,125.65,136.01,109.32,-15.61,⚠️ MUY BAJO
EBAY,2026-09-02,38,129.28,123.79,135.05,125.4,135.75,109.32,-15.44,⚠️ MUY BAJO
EBAY,2026-09-03,39,129.05,123.69,134.57,125.18,135.5,109.32,-15.29,⚠️ MUY BAJO
EBAY,2026-08-08,13,128.87,123.66,134.32,125.01,135.32,109.32,-15.17,⚠️ MUY BAJO
EBAY,2026-09-04,40,128.84,123.6,134.3,124.97,135.28,109.32,-15.15,⚠️ MUY BAJO
EBAY,2026-09-05,41,128.66,122.95,134.18,124.8,135.09,109.32,-15.03,⚠️ MUY BAJO
EBAY,2026-09-06,42,128.5,123.25,133.7,124.64,134.92,109.32,-14.92,⚠️ MUY BAJO
EBAY,2026-08-07,12,128.12,122.49,133.39,124.27,134.52,109.32,-14.67,⚠️ MUY BAJO
EBAY,2026-08-06,11,127.31,122.31,132.73,123.49,133.67,109.32,-14.13,⚠️ MUY BAJO
EBAY,2026-08-05,10,126.46,121.21,132.13,122.67,132.78,109.32,-13.55,⚠️ MUY BAJO
EBAY,2026-08-04,9,125.58,120.41,130.86,121.81,131.86,109.32,-12.95,⚠️ MUY BAJO
EBAY,2026-08-03,8,124.67,119.39,130.16,120.93,130.91,109.32,-12.31,⚠️ MUY BAJO
EBAY,2026-08-02,7,123.75,118.54,129.19,120.04,129.94,109.32,-11.66,🟢 COMPRAR
EBAY,2026-08-01,6,122.83,117.57,127.79,119.14,128.97,109.32,-11.0,🟢 COMPRAR
EBAY,2026-07-31,5,121.9,116.39,127.03,118.25,128.0,109.32,-10.32,🟢 COMPRAR
EBAY,2026-07-30,4,121.0,115.59,125.92,117.37,127.05,109.32,-9.65,🟢 COMPRAR
EBAY,2026-07-29,3,120.12,114.66,125.19,116.51,126.12,109.32,-8.99,🟢 COMPRAR
EBAY,2026-07-28,2,119.27,114.12,124.66,115.69,125.23,109.32,-8.34,🟢 COMPRAR
EBAY,2026-07-27,1,118.46,113.41,123.94,114.9,124.38,109.32,-7.71,🟢 COMPRAR
EBAY,2026-07-26,0,117.69,112.52,122.82,114.16,123.58,109.32,-7.11,🟢 COMPRAR
